"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률"
"1","005930","삼성전자",69600,-200,-0.29,"KOSPI","전기전자",415496865480000,8057,8.64,3870,17.98,57822,1.2,1444,2.07
"2","373220","LG에너지솔루션",499500,3000,0.6,"KOSPI","전기전자",1.16883e+14,3306,151.09,12383,40.34,80052,6.24,0,0
"3","000660","SK하이닉스",118000,-1200,-1.01,"KOSPI","전기전자",85904279070000,3242,36.4,2743,43.02,92004,1.28,1200,1.02
"4","207940","삼성바이오로직스",719000,-10000,-1.37,"KOSPI","의약품",5.1174106e+13,11442,62.84,12822,56.08,126233,5.7,0,0
"5","005490","POSCO홀딩스",594000,1000,0.17,"KOSPI","철강금속",50235310620000,41456,14.33,41284,14.39,692323,0.86,12000,2.02
"6","005935","삼성전자우",56100,-800,-1.41,"KOSPI","전기전자",46163943870000,NA,NA,NA,NA,NA,NA,1445,2.58
"7","005380","현대차",194900,4900,2.58,"KOSPI","운수장비",41227490519400,28521,6.83,42999,4.53,407147,0.48,7000,3.59
"8","051910","LG화학",551000,-1000,-0.18,"KOSPI","화학",38896380993000,23670,23.28,40658,13.55,445524,1.24,10000,1.81
"9","006400","삼성SDI",563000,5000,0.9,"KOSPI","전기전자",38714430390000,29191,19.29,33999,16.56,251948,2.23,1030,0.18
"10","035420","NAVER",217500,-2000,-0.91,"KOSPI","서비스업",35680675987500,5007,43.44,7744,28.08,151646,1.43,914,0.42
"11","000270","기아",81400,2000,2.52,"KOSPI","운수장비",32726398124200,13495,6.03,22380,3.64,98117,0.83,3500,4.3
"12","003670","포스코퓨처엠",411000,14500,3.66,"KOSPI","전기전자",31837383420000,1527,269.16,5004,82.13,31922,12.88,300,0.07
"13","247540","에코프로비엠",290500,12500,4.5,"KOSDAQ","일반전기전자",28411290432000,2881,100.83,4571,63.56,13962,20.81,450,0.15
"14","086520","에코프로",953000,63000,7.08,"KOSDAQ","금융",25376167604000,1431,665.97,18581,51.29,50778,18.77,500,0.05
"15","105560","KB금융",56800,600,1.07,"KOSPI","기타금융",22919428889600,10955,5.18,12659,4.49,124124,0.46,2950,5.19
"16","012330","현대모비스",242500,5500,2.32,"KOSPI","운수장비",22864135295000,27163,8.93,39614,6.12,410816,0.59,4000,1.65
"17","068270","셀트리온",145300,-300,-0.21,"KOSPI","의약품",21272322481000,3751,38.74,4822,30.13,28937,5.02,375,0.26
"18","035720","카카오",47100,-750,-1.57,"KOSPI","서비스업",20932230607200,3106,15.16,1083,43.47,22893,2.06,60,0.13
"19","028260","삼성물산",108700,-200,-0.18,"KOSPI","유통업",20173814529000,12460,8.72,12500,8.7,164524,0.66,2300,2.12
"20","055550","신한지주",37800,450,1.2,"KOSPI","기타금융",19486058344200,8454,4.47,9244,4.09,95206,0.4,2065,5.46
"21","066570","LG전자",103400,-900,-0.86,"KOSPI","전기전자",16921183967600,6640,15.57,12306,8.4,116599,0.89,700,0.68
"22","096770","SK이노베이션",164400,200,0.12,"KOSPI","화학",15201338721600,18214,9.03,18521,8.88,229593,0.72,5840,3.55
"23","032830","삼성생명",72000,400,0.56,"KOSPI","보험",1.44e+13,8817,8.17,10075,7.15,124081,0.58,3000,4.17
"24","047050","포스코인터내셔널",81300,1900,2.39,"KOSPI","유통업",14302522664400,4780,17.01,4369,18.61,32288,2.52,1000,1.23
"25","003550","LG",85300,700,0.83,"KOSPI","기타금융",13417774702900,12422,6.87,12148,7.02,164082,0.52,3000,3.52
"26","086790","하나금융지주",44000,750,1.73,"KOSPI","기타금융",12863690312000,11803,3.73,12959,3.4,124935,0.35,3350,7.61
