"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2575,-5,-0.19,30,85.83,NA,NA,947,2.72,0,0
"2","095570","AJ네트웍스",4360,-100,-2.24,201,21.69,593,7.35,8076,0.54,270,6.19
"3","006840","AK홀딩스",18660,20,0.11,NA,NA,NA,NA,41948,0.44,200,1.07
"4","054620","APS",7980,-160,-1.97,505,15.8,NA,NA,10864,0.73,0,0
"5","265520","AP시스템",17890,-60,-0.33,5463,3.27,NA,NA,17980,0.99,270,1.51
"6","211270","AP위성",15780,280,1.81,287,54.98,NA,NA,5997,2.63,70,0.44
"7","027410","BGF",3630,5,0.14,247,14.7,650,5.58,16528,0.22,110,3.03
"8","282330","BGF리테일",148600,-600,-0.4,11203,13.26,13573,10.95,55724,2.67,4100,2.76
"9","126600","BGF에코머티리얼즈",4860,40,0.83,1053,4.62,NA,NA,6585,0.74,100,2.06
"10","138930","BNK금융지주",7000,-210,-2.91,2404,2.91,2553,2.74,30468,0.23,625,8.93
"11","001460","BYC",399500,-3000,-0.75,42272,9.45,NA,NA,825735,0.48,3000,0.75
"12","001465","BYC우",140000,0,0,NA,NA,NA,NA,NA,NA,3050,2.18
"13","013720","CBI",1771,-45,-2.48,NA,NA,NA,NA,1580,1.12,0,0
"14","083790","CG인바이츠",3025,-65,-2.1,NA,NA,NA,NA,2732,1.11,0,0
"15","001040","CJ",90100,700,0.78,6023,14.96,8388,10.74,191537,0.47,2500,2.77
"16","079160","CJ CGV",7640,-30,-0.39,NA,NA,NA,NA,5510,1.39,0,0
"17","035760","CJ ENM",58500,-300,-0.51,NA,NA,378,154.74,171357,0.34,0,0
"18","311690","CJ 바이오사이언스",15980,-160,-0.99,NA,NA,NA,NA,7423,2.15,0,0
"19","00104K","CJ4우(전환)",69900,-100,-0.14,NA,NA,NA,NA,NA,NA,2550,3.65
"20","000120","CJ대한통운",82100,-2300,-2.73,8190,10.02,10327,7.95,179031,0.46,500,0.61
"21","011150","CJ씨푸드",3040,-5,-0.16,205,14.83,NA,NA,2107,1.44,0,0
"22","011155","CJ씨푸드1우",19190,-210,-1.08,NA,NA,NA,NA,NA,NA,0,0
"23","001045","CJ우",48300,-400,-0.82,NA,NA,NA,NA,NA,NA,2550,5.28
"24","097950","CJ제일제당",306000,-4000,-1.29,37188,8.23,31848,9.61,459670,0.67,5500,1.8
"25","097955","CJ제일제당 우",135500,700,0.52,NA,NA,NA,NA,NA,NA,5550,4.1
"26","051500","CJ프레시웨이",23400,-50,-0.21,4136,5.66,5695,4.11,25929,0.9,350,1.5
"27","058820","CMG제약",2500,-40,-1.57,NA,NA,NA,NA,1332,1.88,0,0
"28","023460","CNH",2000,0,0,NA,NA,NA,NA,3404,0.59,20,1
"29","056730","CNT85",1310,21,1.63,39,33.59,NA,NA,569,2.3,0,0
"30","000480","CR홀딩스",7670,-130,-1.67,1279,6,NA,NA,21609,0.35,450,5.87
"31","065770","CS",1625,-1,-0.06,NA,NA,NA,NA,936,1.74,0,0
"32","083660","CSA 코스믹",1260,-54,-4.11,NA,NA,NA,NA,79,15.95,0,0
"33","000590","CS홀딩스",59700,100,0.17,12700,4.7,NA,NA,242997,0.25,500,0.84
"34","012030","DB",1740,13,0.75,30,58,NA,NA,1492,1.17,0,0
"35","404950","DB금융스팩10호",2120,0,0,NA,NA,NA,NA,NA,NA,0,0
"36","456440","DB금융스팩11호",2060,-5,-0.24,NA,NA,NA,NA,NA,NA,0,0
"37","367360","DB금융스팩9호",5090,-10,-0.2,NA,NA,NA,NA,NA,NA,0,0
"38","016610","DB금융투자",3980,-40,-1,NA,NA,NA,NA,22203,0.18,170,4.27
