"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",4360,-100,-2.24,204145206200
"2","006840","AK홀딩스","KOSPI","기타금융",18660,20,0.11,247199488260
"3","027410","BGF","KOSPI","기타금융",3630,5,0.14,347451951330
"4","282330","BGF리테일","KOSPI","유통업",148600,-600,-0.4,2568388431600
"5","138930","BNK금융지주","KOSPI","기타금융",7000,-210,-2.91,2254619066000
"6","001460","BYC","KOSPI","섬유의복",399500,-3000,-0.75,249533692500
"7","001465","BYC우","KOSPI","섬유의복",140000,0,0,30153900000
"8","001040","CJ","KOSPI","기타금융",90100,700,0.78,2628847519800
"9","079160","CJ CGV","KOSPI","서비스업",7640,-30,-0.39,364664228800
"10","00104K","CJ4우(전환)","KOSPI","기타금융",69900,-100,-0.14,295433188800
"11","000120","CJ대한통운","KOSPI","운수창고업",82100,-2300,-2.73,1872893442400
"12","011150","CJ씨푸드","KOSPI","음식료품",3040,-5,-0.16,109229549920
"13","011155","CJ씨푸드1우","KOSPI","음식료품",19190,-210,-1.08,3.838e+09
"14","001045","CJ우","KOSPI","기타금융",48300,-400,-0.82,109168770900
"15","097950","CJ제일제당","KOSPI","음식료품",306000,-4000,-1.29,4606580916000
"16","097955","CJ제일제당 우","KOSPI","음식료품",135500,700,0.52,179867171500
"17","000480","CR홀딩스","KOSPI","비금속광물",7670,-130,-1.67,215870861440
"18","000590","CS홀딩스","KOSPI","기타금융",59700,100,0.17,68922575400
"19","012030","DB","KOSPI","서비스업",1740,13,0.75,350042643420
"20","016610","DB금융투자","KOSPI","증권",3980,-40,-1,168936628220
"21","005830","DB손해보험","KOSPI","보험",93200,600,0.65,6.59856e+12
"22","000990","DB하이텍","KOSPI","전기전자",51000,200,0.39,2264327988000
"23","139130","DGB금융지주","KOSPI","기타금융",8160,-40,-0.49,1380229997280
"24","001530","DI동일","KOSPI","유통업",28650,1400,5.14,746065396050
"25","000210","DL","KOSPI","화학",42750,-100,-0.23,895864041000
"26","001880","DL건설","KOSPI","건설업",12140,-160,-1.3,267726867760
"27","000215","DL우","KOSPI","화학",21750,400,1.87,36673001250
"28","375500","DL이앤씨","KOSPI","건설업",32200,-100,-0.31,1245934660600
"29","37550L","DL이앤씨2우(전환)","KOSPI","건설업",22200,-100,-0.45,46885312200
"30","37550K","DL이앤씨우","KOSPI","건설업",17860,30,0.17,37753986100
"31","007340","DN오토모티브","KOSPI","전기전자",85000,400,0.47,849490425000
"32","004840","DRB동일","KOSPI","화학",6140,130,2.16,122370200000
"33","155660","DSR","KOSPI","철강금속",4595,25,0.55,7.352e+10
"34","069730","DSR제강","KOSPI","철강금속",4555,10,0.22,6.5592e+10
"35","017940","E1","KOSPI","유통업",62000,-900,-1.43,4.2532e+11
"36","365550","ESR켄달스퀘어리츠","KOSPI","서비스업",3730,-70,-1.84,794821970000
"37","383220","F&F","KOSPI","섬유의복",116300,-1100,-0.94,4455112822500
"38","007700","F&F홀딩스","KOSPI","기타금융",17820,90,0.51,697018019940
"39","114090","GKL","KOSPI","서비스업",16730,-50,-0.3,1034845359100
"40","078930","GS","KOSPI","기타금융",40350,-400,-0.98,3749135502300
"41","006360","GS건설","KOSPI","건설업",14710,-10,-0.07,1258903717900
"42","001250","GS글로벌","KOSPI","유통업",2425,-5,-0.21,200144377700
"43","007070","GS리테일","KOSPI","유통업",24350,200,0.83,2549881400700
"44","078935","GS우","KOSPI","기타금융",35300,50,0.14,63004357800
"45","012630","HDC","KOSPI","기타금융",6390,-10,-0.16,381749597190
"46","039570","HDC랩스","KOSPI","건설업",8130,30,0.37,211035296130
"47","089470","HDC현대EP","KOSPI","화학",4055,-25,-0.61,129354500000
"48","294870","HDC현대산업개발","KOSPI","건설업",10550,-160,-1.49,695322331500
"49","009540","HD한국조선해양","KOSPI","기타금융",120000,-600,-0.5,8492773920000
"50","267250","HD현대","KOSPI","기타금융",67600,-2500,-3.57,5339932546000
"51","267270","HD현대건설기계","KOSPI","기계",78400,-600,-0.76,1544542171200
"52","322000","HD현대에너지솔루션","KOSPI","전기전자",28350,-700,-2.41,3.1752e+11
"53","042670","HD현대인프라코어","KOSPI","기계",11120,-340,-2.97,2219590397360
"54","267260","HD현대일렉트릭","KOSPI","전기전자",71200,-3200,-4.3,2566556012000
"55","329180","HD현대중공업","KOSPI","운수장비",127300,300,0.24,11300817666800
"56","097230","HJ중공업","KOSPI","건설업",3730,0,0,310613068130
"57","014790","HL D&I","KOSPI","건설업",2310,-25,-1.07,87453368310
"58","003580","HLB글로벌","KOSPI","광업",4230,-205,-4.62,179239731570
"59","204320","HL만도","KOSPI","운수장비",41350,300,0.73,1941676912000
"60","060980","HL홀딩스","KOSPI","기타금융",35800,150,0.42,364064878000
"61","011200","HMM","KOSPI","운수창고업",17210,590,3.55,8416369726160
"62","082740","HSD엔진","KOSPI","기계",9430,-240,-2.48,674659863420
"63","035000","HS애드","KOSPI","서비스업",6040,-10,-0.17,100067150360
"64","003560","IHQ","KOSPI","서비스업",3585,0,0,57908659155
"65","175330","JB금융지주","KOSPI","기타금융",10320,-90,-0.86,2032863466080
"66","234080","JW생명과학","KOSPI","의약품",13910,0,0,220258646140
"67","001060","JW중외제약","KOSPI","의약품",40500,100,0.25,924818958000
