"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"1","247540","에코프로비엠","280,000","0","0.00%","500","273,844","97,801",8.56,"574,838","103.67","24.26"
"2","086520","에코프로","899,000","9,000","+1.01%","500","239,383","26,628",9.2,"583,910","389.68","2.94"
"3","091990","셀트리온헬스케어","64,600","200","-0.31%","1,000","106,244","164,465",16.54,"235,058","78.11","7.06"
"4","022100","포스코DX","55,700","100","+0.18%","500","84,683","152,035",3.2,"2,161,161","117.26","11.84"
"5","066970","엘앤에프","188,000","5,900","-3.04%","500","68,131","36,240",19.1,"320,806","39.99","28.26"
"6","028300","HLB","32,100","150","+0.47%","500","41,386","128,930",12.09,"958,282","-34.00","-14.56"
"7","035900","JYP Ent.","108,800","1,800","-1.63%","500","38,627","35,502",42.92,"282,995","37.66","24.67"
"8","196170","알테오젠","70,400","4,900","+7.48%","500","36,447","51,771",9.84,"5,165,484","485.52","-5.76"
"9","277810","레인보우로보틱스","178,200","3,600","-1.98%","500","34,305","19,251",5.79,"878,761","300.51","10.56"
"10","263750","펄어비스","49,450","550","-1.10%","100","31,771","64,248",13.53,"151,428","-41.87","-6.06"
"11","041510","에스엠","133,100","2,100","-1.55%","500","31,719","23,831",14.45,"111,387","42.51","12.19"
"12","328130","루닛","228,000","4,500","+2.01%","500","28,229","12,381",15.65,"253,181","-62.16","-110.27"
"13","068760","셀트리온제약","70,800","600","+0.85%","500","28,044","39,610",6.01,"122,720","89.28","7.54"
"14","403870","HPSP","31,650","2,050","-6.08%","500","25,687","81,159",14.33,"1,118,301","28.98","53.2"
"15","058470","리노공업","155,600","1,600","-1.02%","500","23,717","15,242",36.8,"50,096","23.47","25.11"
"16","214150","클래시스","35,800","2,800","-7.25%","100","23,190","64,777",74.37,"591,295","26.94","38.33"
"17","293490","카카오게임즈","27,850","500","-1.76%","100","22,977","82,504",12.02,"244,199","-7.95","-12.35"
"18","000250","삼천당제약","93,100","4,000","+4.49%","500","21,475","23,067",5.63,"339,949","-3,724.00","3.36"
"19","214370","케어젠","39,650","2,800","-6.60%","100","21,298","53,715",3.86,"339,303","62.94","12.81"
"20","086900","메디톡스","279,000","7,500","-2.62%","500","20,363","7,298",9.3,"102,835","78.24","8.95"
"21","121600","나노신소재","160,700","4,500","+2.88%","500","19,541","12,160",4.49,"285,047","113.57","12.84"
"22","393890","더블유씨피","57,200","300","-0.52%","500","19,274","33,697",5.55,"50,322","28.32","8.25"
"23","440110","파두","38,050","2,450","-6.05%","100","18,452","48,495",1.52,"1,612,971","-5.21","380.21"
"24","357780","솔브레인","234,000","4,000","-1.68%","500","18,202","7,779",28.97,"26,769","12.58","23.03"
"25","005290","동진쎄미켐","34,950","850","-2.37%","500","17,969","51,414",6.68,"427,045","11.84","25.51"
"26","039030","이오테크닉스","145,300","7,100","-4.66%","500","17,900","12,320",16.9,"295,901","30.97","15.14"
"27","240810","원익IPS","34,250","350","-1.01%","500","16,811","49,084",20.55,"238,863","56.61","10.71"
"28","137400","피엔티","69,600","400","-0.57%","500","15,828","22,741",13.62,"224,467","26.69","28.1"
"29","253450","스튜디오드래곤","51,800","500","+0.97%","500","15,570","30,058",7.86,"100,543","41.01","7.52"
"30","034230","파라다이스","16,940","20","-0.12%","500","15,544","91,759",6.38,"448,655","21.55","1.95"
"31","237690","에스티팜","82,400","100","-0.12%","500","15,498","18,809",2.13,"67,408","87.01","5.45"
"32","145020","휴젤","123,100","100","+0.08%","500","15,246","12,385",56.44,"71,878","23.43","7.31"
"33","372170","윤성에프앤씨","187,900","1,900","-1.00%","100","14,993","7,979",1.89,"42,591","49.62","29.1"
"34","122870","와이지엔터테인먼트","78,000","1,300","-1.64%","500","14,569","18,678",16.43,"541,952","19.56","8.56"
"35","078600","대주전자재료","93,700","700","+0.75%","500","14,505","15,481",10.39,"86,528","-300.32","0.8"
"36","140410","메지온","48,600","950","-1.92%","500","14,342","29,511",8.64,"278,217","-61.06","-81.54"
