,종목코드,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,5930,삼성전자,"70,200","1,800",-2.50%,100,"4,190,787","5,969,783",53.18,"15,927,922",13.4,17.07
2,373220,LG에너지솔루션,"507,000","7,000",-1.36%,500,"1,186,380","234,000",5.05,"164,146",86.01,5.75
3,660,SK하이닉스,"119,000","3,400",-2.78%,"5,000","866,323","728,002",52.25,"2,346,889",-10.57,3.56
4,207940,삼성바이오로직스,"732,000","1,000",0.14%,"2,500","520,994","71,174",10.32,"41,775",63.1,11.42
5,5490,POSCO홀딩스,"603,000","19,000",3.25%,"5,000","509,965","84,571",28.69,"1,383,725",40.64,6.11
6,5935,삼성전자우,"56,600","1,500",-2.58%,100,"465,754","822,887",72.62,"790,016",10.8,N/A
7,51910,LG화학,"573,000",0,0.00%,"5,000","404,494","70,592",45.26,"191,263",29.97,6.95
8,5380,현대차,"191,000","1,200",-0.62%,"5,000","404,025","211,532",33.36,"289,258",5.53,9.36
9,6400,삼성SDI,"567,000","14,000",-2.41%,"5,000","389,895","68,765",48.42,"212,488",18.97,12.52
10,35420,NAVER,"221,500","8,000",-3.49%,100,"363,369","164,049",47.19,"717,070",49.88,3.29
11,270,기아,"79,400",700,-0.87%,"5,000","319,223","402,044",38.02,"569,249",4.33,14.57
12,3670,포스코퓨처엠,"410,500","2,000",0.49%,500,"317,987","77,463",7.09,"433,662",258.18,4.87
13,105560,KB금융,"57,200",100,-0.17%,"5,000","230,808","403,511",72.78,"921,241",5.03,9.17
14,12330,현대모비스,"235,000","3,000",-1.26%,"5,000","221,570","94,285",38.12,"111,839",7.46,6.8
15,35720,카카오,"48,600",250,-0.51%,100,"215,989","444,421",26.05,"870,584",185.5,13.54
16,68270,셀트리온,"146,400",100,-0.07%,"1,000","214,334","146,403",19.49,"185,599",39.04,13.35
17,28260,삼성물산,"108,300","1,700",-1.55%,100,"200,996","185,592",18.55,"134,027",9.15,7.16
18,55550,신한지주,"37,700",300,-0.79%,"5,000","195,417","518,347",59.6,"1,151,638",4.37,9.7
19,66570,LG전자,"105,400","2,000",-1.86%,"5,000","172,485","163,648",29.21,"497,818",46.47,6.61
20,96770,SK이노베이션,"164,600","5,000",3.13%,"5,000","152,198","92,466",22.96,"1,100,836",-18.51,8.49
21,47050,포스코인터내셔널,"81,200","1,600",2.01%,"5,000","142,849","175,923",5.35,"1,749,038",20.04,15.79
22,32830,삼성생명,"71,200","1,200",-1.66%,500,"142,400","200,000",17.01,"112,960",6.68,5.73
23,3550,LG,"84,500","1,300",-1.52%,"5,000","132,919","157,301",36.33,"77,499",12.88,8.48
24,86790,하나금융지주,"43,400",100,-0.23%,"5,000","126,883","292,357",68.32,"1,112,244",3.34,10.06
25,33780,KT&G,"91,000",700,0.78%,"5,000","124,936","137,292",41.54,"225,382",14.14,11
26,810,삼성화재,"263,000","4,500",-1.68%,500,"124,596","47,375",53.21,"50,350",7.84,9.7
27,323410,카카오뱅크,"25,050","1,000",-3.84%,"5,000","119,430","476,767",15.32,"1,271,918",36.95,4.68
28,15760,한국전력,"18,030",110,-0.61%,"5,000","115,746","641,964",14.44,"581,847",-0.56,-46.91
29,138040,메리츠금융지주,"54,800",700,-1.26%,500,"114,103","208,218",16.58,"374,516",5.24,30.32
30,329180,HD현대중공업,"127,700",900,-0.70%,"5,000","113,363","88,773",7.51,"35,349",-105.02,-6.47
31,17670,SK텔레콤,"50,700",300,0.60%,100,"110,948","218,833",41.16,"599,092",10.4,7.97
32,34730,SK,"150,300","1,600",-1.05%,200,"110,017","73,198",22.55,"102,355",-11.9,5.13
33,10130,고려아연,"552,000","5,000",-0.90%,"5,000","109,645","19,863",20.23,"40,453",18.39,9.38
34,34020,두산에너빌리티,"17,020",150,-0.87%,"5,000","109,024","640,561",13.27,"2,124,163",-29.91,-11.7
35,9150,삼성전기,"141,700","2,700",-1.87%,"5,000","105,841","74,694",30.57,"277,995",18.09,13.76
36,18260,삼성에스디에스,"135,700","4,700",-3.35%,500,"105,002","77,378",15.5,"206,768",10.4,14.23
37,352820,하이브,"241,500","3,000",-1.23%,500,"100,590","41,652",16.34,"145,182",157.02,1.87
38,316140,우리금융지주,"12,560",30,-0.24%,"5,000","95,523","760,535",36.21,"1,856,422",3.13,11.51
39,24110,기업은행,"11,340",0,0.00%,"5,000","90,428","797,426",14.2,"1,278,318",3.08,9.85
